ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу,Дата добавления,Видео,Исходники,ГитХаб,Демопати,Компо,Место
44162,DENON (БК0011М),Фролов Д.Н.,FDN GC & Simon Corp,1996,БК0011М,demo,1996,,,,"Демонстрационные программы, под общим названием DENON. Сами программы входят пакет Sleem Block. Демонстрационные программы, под общим названием DENON. Сами программы входят пакет Sleem Block. Фролов Д.Н. FDN GC & Simon Corp 1996-1999",denon_demo.zip,,,,,,,,,,1485423585_1.png,1485423527_2.png,1485423506_3.png,1485423506_4.png,1485423563_5.png,1485423505_6.png,,,,,,,https://r-games.net/44162-denon-bk0011m.html,,,,,,,
3000236,Kutiakoff's Music Release,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1996,БК0010 (11М),musicdisk,1996,,,,,music-relise.zip,,,,,,,,,,00015905.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=15905,17.02.26,,,,,,
3000234,kuvo music (disk image),Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1996,БК0010 (11М),musicdisk,1996,,,,,csimusik.zip,,,,,,,,,,00087010.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=87010,17.02.26,,,,,,
73,MINI DEMO,NiOl-micro,,1996,БК0010 (11М),demo,,,,,Демонстрация возможностей скроллинга текста на БК. В архиве лежит исходный код демки на ассемблере. Демонстрация возможностей скроллинга текста на БК. В архиве лежит исходный код демки на ассемблере. NiOl-micro,nm-mini.zip,,,,,,,,,,1396609240_r-games.net_1.png,,,,,,,,,,,,https://r-games.net/73-4k-intro-bk-maniya-96-mini-demo.html,,,В архиве,,,,
164,SPIDER-DEMO (БК0011M),Alexsoft,,1996,БК0011М,demo,10.10.1996,,,Русский / Английский,Демонстрация возможностей БК Демонстрация возможностей БК Alexsoft 10.10.1996,spider_demo.zip,,,,,,,,,,1395820990_r-games.net_1.png,1395821018_r-games.net_2.png,,,,,,,,,,,https://r-games.net/164-spider-demo-bk0011m.html,,,,,,,
3000233,Stickman's World,Mup & Maxi G.C.,"Maxi Graphics Computer, MiR Corporation",1996,БК0011М,8k,1996,,,,,StWorld.zip,,,,,,,,,,00089386.gif,1626929198_1.png,1626929175_2.png,,,,,,,,,,https://www.pouet.net/prod.php?which=89386,17.02.26,,,,,,
3000235,Terminator 2,,Mega Best Software,1996,БК0010 (11М),demo,1996,,,,,terminator2_demo_bk11.zip,,,,,,,,,,00015906.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=15906,17.02.26,,,,,,
3000237,1996,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1995,БК0010 (11М),demo,december 1995,,,,,csi-1996.zip,,,,,,,,,,00015903.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=15903,17.02.26,,,,,,
3000238,Strogino Sound Tracker,Мачуговский А. (Manwe/SandS),Strogino PC,1995,БК0010 (11М),demotool,june 1995,,,,,sst.zip,,,,,,,,,,00015892.gif,,,,,,,,,,,,https://www.pouet.net/prod.php?which=15892,17.02.26,https://www.youtube.com/watch?v=yyIvGLJEC08,,,,,
101,ASSORTY MEGADEMO,"AWARD AND SHK, ROC Ltd., SHK S.I.D., MUSICSOFT AND KLAV",,1995,БК0011М,demo,1995,"ROC Ltd., SHK S.I.D.",MUSICSOFT AND KLAV,,"Большая демонстрационная программа Большая демонстрационная программа AWARD AND SHK ROC Ltd., SHK S.I.D. MUSICSOFT AND KLAV 1995",assorty_demo.7z,,,,,,,,,,1364471801_1.png,1364471847_2.png,1364471843_3.png,1364471833_4.png,1364471830_5.png,,,,,,,,https://r-games.net/101-assorty-megademo.html,,,,,,,
3000239,disco club caroline's,"Алексей Мельников, Владимир Кутяков (KUVO)",CAROLINE SOFTWARE,1995,БК0011М,demo,1995,,,,Отличная демка. Алексей Мельников CAROLINE SOFTWARE Владимир Кутяков (KUVO),disco_club_caroline.zip,,disco-club-caroline.zip,,,,,,,,00087015.png,1395913975_r-games.net_1.png,1395913952_r-games.net_2.png,1395913988_r-games.net_3.png,,,,,,,,,https://www.pouet.net/prod.php?which=87015,17.02.26,,,,,,
121,DRINKING DEMO (ДЕМО) (БК0011М),"SHK SOFT, AWARD",,1995,БК0011М,demo,1995,,,,"Демонстрационная программа. SHK SOFT, AWARD 1995",drinking.zip,,,,,,,,,,1488354440_1_1.png,1488354430_1_2.png,1488354507_2_1.png,1488354436_2_2.png,1488354501_3_1.png,1488354466_3_2.png,1488354464_3_3.png,1488354453_3_4.png,1488354449_3_5.png,1488354481_4_1.png,1488354507_4_2.png,1488354468_5_1.png,https://r-games.net/121-drinking-demo-1-demo-bk0011m.html,,,,,,,
3000240,Covox demos,"RDC, Мачуговский А. (Manwe/SandS), Xpeh^LKR","Strogino PC, RDC",1994,БК0010 (11М),demopack,may 1994,,,,,BK0010-Digital-Sound.BKD,,,,,,,,,,00082746.gif,,,,,,,,,,,,https://www.pouet.net/prod.php?which=82746,17.02.26,https://www.youtube.com/watch?v=dlqfRSAOP-8&list=TLGGRrMg3v-29G0wMTA2MjAyNA,,,,,
31693,4K-INTRO - MU * DEMO (БК0011М),Мудовской А.В.,MUDO BEST SOFTWARE,1994,БК0010 (11М),demo,1994,,,,Описание отсутствует. Мудовской А.В. MUDO BEST SOFTWARE 1994,MU_DEMO.zip,,,,,,,,,,1369911018_1.png,1369911089_2.png,,,,,,,,,,,https://r-games.net/31693-4k-intro-mu-demo-bk0011m.html,,,,,,,
3000241,csidos 3 title,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1994,БК0010 (11М),intro,1994,,,,,csidos_title.zip,,,,,,,,,,00087016.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=87016,17.02.26,https://youtu.be/T5NypVD98Ls,,,,,
3000242,cybernoid 1994,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1994,БК0010 (11М),game,1994,,,,,cybernoid.zip,,,,,,,,,,00087014.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=87014,17.02.26,,,,,,
3000243,chess club caroline's,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,1993,БК0010 (11М),game,1993,,,,,chess11m.zip,,,,,,,,,,00087011.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=87011,17.02.26,https://www.youtube.com/watch?v=rPP-w1eWBME,,,,,
112,CRASH (ДЕМО) (БК0011М),"Алексей Мельников, Владимир Кутяков (KUVO)",CAROLINE SOFTWARE,1992,БК0011М,demo,1992,Владимир Кутяков (KUVO),,,Демонстрация возможностей БК0011М с музыкальным сопроцессором. Алексей Мельников CAROLINE SOFTWARE Владимир Кутяков (KUVO),crash_demo.zip,,crash.zip,,,,,,,,1395989955_r-games.net_1.png,00087013.png,,,,,,,,,,,https://www.pouet.net/prod.php?which=87013,17.02.26,,,,,,
